lineitem_l_comment,0.25,13
lineitem_l_orderkey_l_suppkey,0.25,5
partsupp_ps_supplycost,0.25,0
partsupp_ps_partkey_ps_supplycost,0.25,0
part_p_type,0.25,0
part_p_brand_p_partkey,0.25,0
supplier_s_phone,0.25,0
supplier_s_acctbal_s_nationkey,0.25,0
lineitem_l_comment,0.5,28
lineitem_l_orderkey_l_suppkey,0.5,6
partsupp_ps_supplycost,0.5,1
partsupp_ps_partkey_ps_supplycost,0.5,1
part_p_type,0.5,0
part_p_brand_p_partkey,0.5,0
supplier_s_phone,0.5,0
supplier_s_acctbal_s_nationkey,0.5,0
lineitem_l_comment,1,63
lineitem_l_orderkey_l_suppkey,1,9
partsupp_ps_supplycost,1,1
partsupp_ps_partkey_ps_supplycost,1,1
part_p_type,1,1
part_p_brand_p_partkey,1,1
supplier_s_phone,1,0
supplier_s_acctbal_s_nationkey,1,0
lineitem_l_comment,2.5,141
lineitem_l_orderkey_l_suppkey,2.5,18
partsupp_ps_supplycost,2.5,4
partsupp_ps_partkey_ps_supplycost,2.5,3
part_p_type,2.5,2
part_p_brand_p_partkey,2.5,1
supplier_s_phone,2.5,0
supplier_s_acctbal_s_nationkey,2.5,0
lineitem_l_comment,5,395
lineitem_l_orderkey_l_suppkey,5,48
partsupp_ps_supplycost,5,10
partsupp_ps_partkey_ps_supplycost,5,9
part_p_type,5,6
part_p_brand_p_partkey,5,8
supplier_s_phone,5,0
supplier_s_acctbal_s_nationkey,5,0
